date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:40	79/79	---MCZ	200	added ('OK')	text/plain	etag:W/%2264c898bb-7a%22	https://preview.uideck.com/robots.txt		(from )
17:10:40	15435/15435	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:44:26%20GMT	https://preview.uideck.com/items/saasintro/	/home/sefrel/websites/Product%20Page/preview.uideck.com/items/saasintro/index.html	(from )
17:10:41	1299/1299	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264c63f09-513%22	https://preview.uideck.com/items/saasintro/assets/images/favicon.svg	/home/sefrel/websites/Product%20Page/preview.uideck.com/items/saasintro/assets/images/favicon.svg	(from https://preview.uideck.com/items/saasintro/)
17:10:42	162720/162720	---MCZ	200	added ('OK')	text/css	etag:W/%2264c63f0a-27ba0%22	https://preview.uideck.com/items/saasintro/assets/css/bootstrap.min.css	/home/sefrel/websites/Product%20Page/preview.uideck.com/items/saasintro/assets/css/bootstrap.min.css	(from https://preview.uideck.com/items/saasintro/)
17:10:43	26961/26961	---MCZ	200	added ('OK')	text/css	etag:W/%2264c63f0a-6951%22	https://preview.uideck.com/items/saasintro/assets/css/lineicons.css	/home/sefrel/websites/Product%20Page/preview.uideck.com/items/saasintro/assets/css/lineicons.css	(from https://preview.uideck.com/items/saasintro/)
17:10:44	2178/2178	---MCZ	200	added ('OK')	text/css	etag:W/%2264c63f09-882%22	https://preview.uideck.com/items/saasintro/assets/css/tiny-slider.css	/home/sefrel/websites/Product%20Page/preview.uideck.com/items/saasintro/assets/css/tiny-slider.css	(from https://preview.uideck.com/items/saasintro/)
17:10:45	70592/70592	---MCZ	200	added ('OK')	text/css	etag:W/%2264c63f0a-113c0%22	https://preview.uideck.com/items/saasintro/assets/css/animate.css	/home/sefrel/websites/Product%20Page/preview.uideck.com/items/saasintro/assets/css/animate.css	(from https://preview.uideck.com/items/saasintro/)
17:10:46	29541/29541	---MCZ	200	added ('OK')	text/css	etag:W/%2264c63f0a-7365%22	https://preview.uideck.com/items/saasintro/assets/css/main.css	/home/sefrel/websites/Product%20Page/preview.uideck.com/items/saasintro/assets/css/main.css	(from https://preview.uideck.com/items/saasintro/)
17:10:47	15435/15435	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:44:26%20GMT	https://preview.uideck.com/items/saasintro/index.html	/home/sefrel/websites/Product%20Page/preview.uideck.com/items/saasintro/index-2.html	(from https://preview.uideck.com/items/saasintro/)
17:10:47	6666/6666	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264c63f09-1a0a%22	https://preview.uideck.com/items/saasintro/assets/images/logo/logo.svg	/home/sefrel/websites/Product%20Page/preview.uideck.com/items/saasintro/assets/images/logo/logo.svg	(from https://preview.uideck.com/items/saasintro/)
17:10:49	9719/9719	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264c63f0a-25f7%22	https://preview.uideck.com/items/saasintro/assets/images/hero/hero-image.svg	/home/sefrel/websites/Product%20Page/preview.uideck.com/items/saasintro/assets/images/hero/hero-image.svg	(from https://preview.uideck.com/items/saasintro/)
